Ticker,Quantity (Adjusted),Cost Per Share (Adjusted),Currency,Date,Commission,Commission Currency
000660.KR,2.0,1850000.0,KRW,2026-07-16,4000.0,USD
000660.KR,0.0,1842584.74,KRW,2026-07-20,,
000660.KR,3.0,1745000.0,KRW,2026-07-20,4000.0,USD
000660.KR,5.0,1280000.0,KRW,2026-07-29,4000.0,USD
0700.HK,200.0,300.0,HKD,2021-01-01,,
0700.HK,-200.0,332.43,HKD,2023-06-30,,
0700.HK,500.0,440.0,HKD,2025-04-07,,
0700.HK,700.0,438.0,HKD,2025-04-07,,
0700.HK,200.0,520.0,HKD,2025-05-30,,
0700.HK,-200.0,657.5,HKD,2025-10-10,,
0700.HK,200.0,640.0,HKD,2025-12-07,,
0700.HK,100.0,500.0,HKD,2026-04-29,,
0883.HK,3000.0,12.32,HKD,2023-12-19,,
0883.HK,1000.0,19.1,HKD,2024-05-22,,
0883.HK,18000.0,21.25,HKD,2024-08-30,,
0883.HK,1000.0,19.4,HKD,2024-09-26,,
0883.HK,1000.0,18.8,HKD,2024-09-26,,
0883.HK,1000.0,19.2,HKD,2024-09-30,,
0883.HK,5000.0,19.0,HKD,2024-12-31,,
2318.HK,2500.0,47.35,HKD,2023-09-11,,
2318.HK,-2500.0,47.8,HKD,2023-09-15,,
2318.HK,2500.0,45.35,HKD,2023-09-26,,
2318.HK,-2500.0,34.0,HKD,2024-05-31,,
2688.HK,400.0,65.3,HKD,2025-09-10,,
2688.HK,-400.0,70.15,HKD,2025-11-26,52.25,USD
3968.HK,5500.0,28.2,HKD,2023-11-28,,
3968.HK,5500.0,27.25,HKD,2023-11-30,,
3968.HK,-11000.0,33.1,HKD,2024-08-30,,
600519.CN,200.0,1771.195,CNY,2021-01-01,,
600519.CN,-200.0,1519.0,CNY,2025-04-07,,
690D.DE,10000.0,1.2674,EUR,2024-03-28,,
690D.DE,10000.0,1.331,EUR,2024-04-09,,
690D.DE,7000.0,1.336,EUR,2024-04-09,,
690D.DE,1516.0,1.335,EUR,2024-04-09,,
690D.DE,1000.0,1.3322,EUR,2024-04-09,,
690D.DE,484.0,1.334,EUR,2024-04-09,,
BITB,1.0,28.3,USD,2024-01-10,,
BITB,1.0,23.58,USD,2024-01-17,,
BITB,1.0,23.3,USD,2024-01-18,,
BITB,1.0,23.0,USD,2024-01-19,,
BITB,1.0,22.0,USD,2024-01-23,,
BITB,2.0,29.1782,USD,2024-02-27,,
BITB,11.0,31.0,USD,2024-02-28,,
BITB,70.0,38.5,USD,2024-03-26,,
BITB,12.0,38.6128,USD,2024-03-26,,
BITB,1.0,38.0,USD,2024-03-26,,
BITB,1.0,38.0,USD,2024-03-27,,
BITB,-1.0,39.0,USD,2024-03-27,,
BITB,1.0,37.7,USD,2024-04-13,,
BITB,1.0,37.0,USD,2024-04-13,,
BITB,2.0,36.3,USD,2024-04-15,,
BITB,2.0,36.0,USD,2024-04-15,,
BITB,1.0,35.7,USD,2024-04-15,,
BITB,3.0,34.2,USD,2024-04-17,,
BITB,3.0,34.0,USD,2024-04-17,,
BITB,2.0,33.45,USD,2024-04-17,,
BITB,2.0,33.0,USD,2024-04-17,,
BITB,20.0,34.6,USD,2024-06-21,,
BITB,12.0,34.7,USD,2024-06-21,,
BITB,5.0,33.4,USD,2024-06-24,,
BITB,95.0,30.25,USD,2024-07-05,,
BITB,2.0,32.3,USD,2024-08-12,,
BITB,10.0,33.8,USD,2024-08-27,,
BITB,10.0,33.8,USD,2024-08-27,,
BITB,8.0,34.0,USD,2024-08-27,,
BITB,5.0,33.5,USD,2024-08-28,,
BITB,100.0,30.8,USD,2024-09-04,,
BITB,65.0,30.8,USD,2024-09-04,,
BITB,50.0,30.7,USD,2024-09-04,,
BITB,5.0,30.5,USD,2024-09-05,,
BITB,5.0,30.4,USD,2024-09-05,,
BITB,3.0,30.2,USD,2024-09-06,,
BITB,250.0,38.9771,USD,2024-10-29,,
BITB,27.0,38.915,USD,2024-10-29,,
BITB,187.0,38.65,USD,2024-10-29,,
BITB,23.0,50.0,USD,2024-11-26,,
BITB,17.0,47.75,USD,2025-03-24,,
BITB,636.0,50.8,USD,2025-04-23,,
BITB,347.0,51.02,USD,2025-04-23,,
BITB,5.0,58.35,USD,2025-06-16,,
BITB,2.0,58.06,USD,2025-06-16,,
BITB,7.0,57.44,USD,2025-06-20,,
BITB,8.0,57.28,USD,2025-06-24,,
BITB,6.0,59.23,USD,2025-07-09,,
BITB,7.0,60.28,USD,2025-07-10,,
BITB,16.0,60.62,USD,2025-07-10,,
BITB,8.0,63.19,USD,2025-07-15,,
BITB,53.0,64.375,USD,2025-07-16,,
BITB,70.0,64.19,USD,2025-07-17,,
BITB,9.0,64.4,USD,2025-07-22,,
BITB,9.0,63.925,USD,2025-07-23,,
BITB,14.0,62.68,USD,2025-08-02,,
BITB,32.0,62.9,USD,2025-08-18,,
BITB,17.0,63.5681,USD,2025-10-01,,
BITB,29.0,59.8397,USD,2025-10-30,,
BITB,22.0,58.535,USD,2025-11-03,,
BITB,25.0,56.119,USD,2025-11-05,,
BITB,104.0,47.4388,USD,2025-11-26,,
BITB,38.0,47.47,USD,2025-11-26,,
BITB,146.0,47.576,USD,2025-12-29,,
BITB,123.0,51.885,USD,2026-01-16,,
BITB,10.0,35.1965,USD,2026-02-05,,
BITB,10.0,37.257,USD,2026-02-06,,
BITB,10.0,37.2,USD,2026-02-09,,
BITB,10.0,36.2,USD,2026-02-12,,
BITB,10.0,36.6165,USD,2026-02-13,,
BITB,10.0,37.0,USD,2026-02-17,,
BITB,10.0,36.0,USD,2026-02-19,,
BITB,10.0,36.37,USD,2026-02-20,,
BITB,10.0,35.9,USD,2026-02-23,,
BITB,10.0,34.34,USD,2026-02-24,,
BITB,104.0,39.46,USD,2026-03-05,,
BITB,46.0,37.335,USD,2026-03-06,,
CGDV,100.0,45.625,USD,2026-02-11,0.47,USD
CGDV,200.0,45.45,USD,2026-02-13,1.33,USD
CGDV,200.0,45.89,USD,2026-02-25,,
CGDV,30.0,43.52,USD,2026-03-09,,
CGDV,120.0,43.895,USD,2026-03-12,,
CGDV,50.0,42.85,USD,2026-03-19,0.35,USD
CGDV,100.0,43.06,USD,2026-03-19,,
CGDV,50.0,43.0,USD,2026-03-20,0.28,USD
CGDV,150.0,41.905,USD,2026-03-31,,
CGDV,240.0,44.225,USD,2026-04-08,,
CGDV,110.0,46.07,USD,2026-04-24,,
CGDV,150.0,47.15,USD,2026-05-12,,
FTEC,27.0,238.145,USD,2025-10-31,,
FTEC,44.0,239.1,USD,2025-11-03,,
FTEC,5.0,231.825,USD,2025-11-10,,
FTEC,21.0,230.975,USD,2025-11-11,,
FTEC,6.0,223.15,USD,2025-11-28,,
FTEC,-103.0,222.1,USD,2025-12-01,,
