序号,标的代码,标的全称,持仓头寸,折合人民币市值,仓位占比,过去12个月每股已派发股息（原生币种）,适用股息税率,税前总股息（人民币）,应缴股息税（人民币）,税后到手股息（人民币）,税后股息贡献占比,官方数据来源
1,QQQM,景顺纳斯达克100 ETF,5000股,"9,934,750.69",45.28%,1.26925 USD,10.0%,"42,670.92","4,267.09","38,403.83",26.57%,Yahoo Finance 2026-09-03 close / StockAnalysis distributions
2,VOO,先锋标普500 ETF,700股,"3,345,117.40",15.25%,7.1281 USD,10.0%,"33,549.54","3,354.95","30,194.59",20.89%,Yahoo Finance 2026-09-03 close / StockAnalysis distributions
3,IYW,iShares美国科技ETF,1500股,"2,547,042.68",11.61%,0.27066 USD,10.0%,"2,729.80",272.98,"2,456.82",1.70%,Yahoo Finance 2026-09-03 close / StockAnalysis distributions
4,QNDX,道富SPDR纳斯达克100 ETF,14532股,"2,376,313.56",10.83%,0 USD,10.0%,0.00,0.00,0.00,0.00%,Yahoo Finance 2026-09-03 close / 股息待核验
5,BITB,Bitwise现货比特币ETF,3000股,"895,005.02",4.08%,0 USD,0.0%,0.00,0.00,0.00,0.00%,Yahoo Finance 2026-09-03 close / 无分红
6,0883.HK,中国海洋石油港股,30000股,"636,124.47",2.90%,1.28 HKD,10.0%,"32,911.86","3,291.19","29,620.67",20.50%,Yahoo Finance 2026-09-03 HKT close / CNOOC 2025 年报股息
7,0700.HK,腾讯控股港股,1500股,"556,673.19",2.54%,5.30 HKD,0.0%,"6,813.78",0.00,"6,813.78",4.72%,Yahoo Finance 2026-09-03 HKT close / Tencent 2025 股息
8,CGDV,资本集团股息价值ETF,1500股,"505,293.57",2.30%,0.5685 USD,10.0%,"5,733.72",573.37,"5,160.35",3.57%,Yahoo Finance 2026-09-03 close / StockAnalysis distributions
9,690D.DE,海尔智家D股,30000股,"431,062.32",1.96%,0.15104 EUR,10.0%,"35,384.59","3,538.46","31,846.13",22.04%,德交所 XETR 2026-09-03 收盘 / StockAnalysis distributions
10,SMH,VanEck半导体ETF,100股,"371,557.19",1.69%,0 USD,10.0%,0.00,0.00,0.00,0.00%,Yahoo Finance 2026-09-03 close / 股息待核验
11,BYTE,字节跳动内部期权,171股,"263,872.17",1.20%,0 USD,0.0%,0.00,0.00,0.00,0.00%,用户固定口径：229.5 USD/股；无分红
12,000660.KS,SK海力士韩股,10股,"79,067.12",0.36%,375 KRW,10.0%,18.58,1.86,16.72,0.01%,Yahoo Finance 2026-09-03 KSE close / 公告股息 KRW 375 除息 2026-09-03
合计,,,,"21,941,879.38",100.00%,,,"159,812.79","15,299.90","144,512.89",100.00%,
