序号,标的代码,标的全称,持仓头寸,折合人民币市值,仓位占比,过去12个月每股已派发股息（原生币种）,适用股息税率,税前总股息（人民币）,应缴股息税（人民币）,税后到手股息（人民币）,税后股息贡献占比,官方数据来源
1,QQQM,景顺纳斯达克100 ETF,5000股,"9,835,760.51",46.44%,1.26925 USD,10%,"43,463.56","4,346.36","39,117.21",8.99%,Tencent US quote 2026-05-07 10:02 ET / Invesco distributions
2,VOO,先锋标普500 ETF,700股,"3,236,106.63",15.28%,7.1281 USD,10%,"34,172.75","3,417.28","30,755.48",7.07%,Tencent US quote 2026-05-07 10:02 ET / Vanguard distributions
3,IYW,iShares美国科技ETF,1300股,"2,074,649.30",9.80%,0.27066 USD,10%,"2,409.77",240.98,"2,168.79",0.50%,Tencent US quote 2026-05-07 10:02 ET / iShares distributions
4,GPIQ,高盛纳指100收益ETF,4500股,"1,747,754.00",8.25%,5.42773 USD,0.5%,"167,278.03",836.39,"166,441.63",38.27%,Tencent US quote 2026-05-07 10:02 ET / Goldman Sachs latest 12 monthly distributions
5,QQQI,NEOS纳指100高收益ETF,2350股,"899,035.70",4.24%,7.57649 USD,0.1%,"121,939.40",121.94,"121,817.46",28.01%,Tencent US quote 2026-05-07 10:02 ET / NEOS latest 12 monthly distributions
6,BITB,Bitwise现货比特币ETF,3000股,"898,070.03",4.24%,0 USD,0%,0.00,0.00,0.00,0.00%,Tencent US quote 2026-05-07 10:02 ET / fixed no dividend
7,0883.HK,中国海洋石油港股,30000股,"692,851.29",3.27%,1.28 HKD,10%,"33,567.36","3,356.74","30,210.62",6.95%,Tencent HK quote 2026-05-07 16:08 HKT / CNOOC 2025 annual results
8,0700.HK,腾讯控股港股,1500股,"625,978.81",2.96%,5.3 HKD,0%,"6,949.49",0.00,"6,949.49",1.60%,Tencent HK quote 2026-05-07 16:08 HKT / Tencent 2025 dividend announcement
9,690D.DE,海尔智家D股,30000股,"464,123.63",2.19%,0.15104 EUR,10%,"36,363.33","3,636.33","32,727.00",7.52%,Stooq 2026-05-06 17:30 CET close fallback / Haier dividend data
10,CGDV,资本集团股息价值ETF,1350股,"437,138.82",2.06%,0.5685 USD,10%,"5,256.21",525.62,"4,730.59",1.09%,Tencent US quote 2026-05-07 10:02 ET / Capital Group distributions
11,BYTE,字节跳动内部期权,171份,"268,773.81",1.27%,0 USD,0%,0.00,0.00,0.00,0.00%,用户固定口径：229.5 USD/股；无分红
合计,,,,"21,180,242.53",100.00%,,,"451,399.90","16,481.63","434,918.28",100.00%,
