序号,标的代码,标的全称,持仓头寸,折合人民币市值,仓位占比,过去12个月每股已派发股息（原生币种）,适用股息税率,税前总股息（人民币）,应缴股息税（人民币）,税后到手股息（人民币）,税后股息贡献占比,官方数据来源
1,QQQM,景顺纳斯达克100 ETF,5000股,"9,810,411.90",45.35%,1.26925 USD,10.0%,"42,640.45","4,264.05","38,376.41",26.59%,Yahoo Finance 2026-09-02 close / StockAnalysis distributions
2,VOO,先锋标普500 ETF,700股,"3,308,348.25",15.29%,7.1281 USD,10.0%,"33,525.59","3,352.56","30,173.03",20.90%,Yahoo Finance 2026-09-02 close / StockAnalysis distributions
3,IYW,iShares美国科技ETF,1500股,"2,503,297.83",11.57%,0.27066 USD,10.0%,"2,727.85",272.79,"2,455.07",1.70%,Yahoo Finance 2026-09-02 close / StockAnalysis distributions
4,QNDX,道富SPDR纳斯达克100 ETF,14394股,"2,324,020.26",10.74%,0 USD,10.0%,0.00,0.00,0.00,0.00%,Yahoo Finance 2026-09-02 close / 股息待核验
5,BITB,Bitwise现货比特币ETF,3000股,"845,586.15",3.91%,0 USD,0.0%,0.00,0.00,0.00,0.00%,Yahoo Finance 2026-09-02 close / 无分红
6,0883.HK,中国海洋石油港股,30000股,"643,143.46",2.97%,1.28 HKD,10.0%,"32,902.62","3,290.26","29,612.36",20.51%,Yahoo Finance 2026-09-02 HKT close / CNOOC 2025 年报股息
7,0700.HK,腾讯控股港股,1500股,"563,200.37",2.61%,5.30 HKD,0.0%,"6,811.87",0.00,"6,811.87",4.72%,Yahoo Finance 2026-09-02 HKT close / Tencent 2025 股息
8,CGDV,资本集团股息价值ETF,1500股,"501,203.81",2.32%,0.5685 USD,10.0%,"5,729.63",572.96,"5,156.67",3.57%,Yahoo Finance 2026-09-02 close / StockAnalysis distributions
9,690D.DE,海尔智家D股,30000股,"420,266.06",1.94%,0.15104 EUR,10.0%,"35,276.75","3,527.68","31,749.08",22.00%,德交所 XETR 2026-09-02 收盘 / StockAnalysis distributions
10,SMH,VanEck半导体ETF,100股,"369,867.51",1.71%,0 USD,10.0%,0.00,0.00,0.00,0.00%,Yahoo Finance 2026-09-02 close / 股息待核验
11,BYTE,字节跳动内部期权,171股,"263,683.80",1.22%,0 USD,0.0%,0.00,0.00,0.00,0.00%,用户固定口径：229.5 USD/股；无分红
12,000660.KS,SK海力士韩股,10股,"79,787.05",0.37%,375 KRW,10.0%,18.55,1.86,16.70,0.01%,Yahoo Finance 2026-09-02 KSE close / 公告股息 KRW 375 除息 2026-09-02
合计,,,,"21,632,816.45",100.00%,,,"159,633.31","15,282.16","144,351.19",100.00%,
